year,GDP,population,longevity,mean_taxRate
1990,679.9,27.7,77.0,32.5
1991,685.3,28.0,77.2,33.1
1992,692.0,28.4,77.4,33.8
1993,702.5,28.7,77.6,34.2
1994,722.8,29.0,77.8,34.0
1995,744.2,29.3,78.0,33.8
1996,757.9,29.6,78.2,34.5
1997,785.3,30.0,78.4,35.0
1998,819.9,30.3,78.6,35.3
1999,865.2,30.5,78.8,35.1
2000,924.6,30.7,79.0,35.5
2001,952.0,31.0,79.2,34.8
2002,982.5,31.4,79.4,34.5
2003,1015.9,31.6,79.6,34.9
2004,1064.2,31.9,79.8,35.2
2005,1118.4,32.2,80.0,35.6
2006,1165.8,32.6,80.2,35.9
2007,1211.3,33.0,80.4,36.1
2008,1242.1,33.3,80.6,35.8
2009,1208.3,33.7,80.8,34.2
2010,1267.5,34.0,81.0,34.5
2011,1326.4,34.3,81.2,35.0
2012,1365.8,34.7,81.4,35.3
2013,1407.9,35.1,81.6,35.5
2014,1455.2,35.4,81.8,35.7
2015,1482.6,35.7,82.0,35.4
2016,1509.8,36.1,82.2,35.6
2017,1577.0,36.5,82.4,35.9
2018,1637.8,36.9,82.6,36.2
2019,1689.5,37.2,82.8,36.1
2020,1644.0,37.6,82.7,34.8
